SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,49.5,-23.5,,,,,3883,,,0,1.99,mg,1,Globigerina bulloides,,,,,Preindustrial estimate from HadiSST 1870 to 1900
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,170.61,,2.5845,2.13,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,171.06,,2.5916,3.24,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,171.44,,2.606,1.81,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,171.63,,2.6076,2.07,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,171.74,,2.6086,1.96,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,171.96,,2.6104,1.62,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,172.13,,2.6119,1.75,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,172.35,,2.6137,2.1,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,172.54,,2.6154,2.06,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,172.73,,2.617,1.75,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,172.95,,2.6188,1.69,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,173.13,,2.6204,1.84,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,173.35,,2.6222,2.23,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,173.53,,2.6238,1.51,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,173.73,,2.6255,1.78,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,173.79,,2.626,1.68,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,174,,2.6278,1.89,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,174.18,,2.6293,2.03,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,174.38,,2.631,1.61,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,174.63,,2.6331,2.2,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,174.79,,2.6345,2,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,174.97,,2.636,1.82,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,175.18,,2.6378,1.62,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,175.29,,2.6387,2.18,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,175.5,,2.6404,2.01,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,175.69,,2.6418,1.94,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,175.88,,2.6432,2.32,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,176.08,,2.6448,2.4,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,176.29,,2.6461,1.25,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,176.48,,2.6472,2.18,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,176.68,,2.6484,1.7,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,176.78,,2.6489,2.02,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,177.07,,2.6506,2.2,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,177.18,,2.6513,1.8,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,177.38,,2.6525,1.45,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,177.58,,2.6536,1.94,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,177.77,,2.6563,1.67,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,177.96,,2.6596,1.48,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
DSDP609,B,49.8778,-24.2381,49.42258896,-24.95432443,49.2118763,-25.28401237,3883,178.13,,2.6626,1.81,mg,1,Globigerina bulloides,Bartoli,2005,https://doi.org/10.1016/j.epsl.2005.06.020,https://doi.org/10.1594/PANGAEA.271535,
