SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,10.5,92.5,,,,,1097,,,0,3.48,mg,1,Trilobatus sacculifer,,,,,Preindustrial estimate from HadiSST 1870 to 1900
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,305.93,351.77,4.9494,3.697,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,306.13,351.97,4.9508,3.112,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,306.33,352.17,4.9523,3.951,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,306.53,352.37,4.9537,3.829,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,306.73,352.57,4.9552,3.741,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,306.93,352.77,4.9567,3.615,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,307.03,352.87,4.9574,4.009,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,307.13,352.97,4.9581,4.121,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,307.22,353.06,4.9588,4.24,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
IODPU1448,B,10.635,93.0001,9.540740792,91.60368768,9.015264514,90.95545871,1097,307.32,353.16,4.9595,4.281,mg,1,Trilobatus sacculifer,Johnck,2020,https://doi.org/10.1029/2020PA003923,https://doi.org/10.1594/PANGAEA.921091,
