SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,-11.5,88.5,,,,,1655,,,0,3.77,mg,0,Trilobatus sacculifer,,,,,Preindustrial estimate from HadiSST 1870 to 1900
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,48.96,NaN,3.566,3.755,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,49.49,NaN,3.584,3.914,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,50.03,NaN,3.603,3.984,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,50.48,NaN,3.618,3.917,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,51,NaN,3.636,3.759,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,51.5,NaN,3.653,3.982,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,51.98,NaN,3.67,3.847,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,52.5,NaN,3.698,3.918,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,53.03,NaN,3.726,3.769,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,53.48,NaN,3.749,4.181,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,57.49,NaN,3.961,4.067,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,57.99,NaN,3.988,4.047,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,58.51,NaN,4.015,3.967,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,58.9,NaN,4.029,3.859,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,59.49,NaN,4.049,3.627,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,59.99,NaN,4.067,4.023,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,60.47,NaN,4.083,3.845,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,60.98,NaN,4.101,3.865,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,61.5,NaN,4.119,3.653,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,61.97,NaN,4.136,4.023,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,62.52,NaN,4.155,4.261,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,62.99,NaN,4.205,4.106,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,63.46,NaN,4.254,3.804,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,64.01,NaN,4.311,3.931,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,64.46,NaN,4.329,3.655,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,64.77,NaN,4.342,3.892,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,66.02,NaN,4.392,3.74,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,66.47,NaN,4.41,3.46,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,66.99,NaN,4.427,3.501,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,67.98,NaN,4.46,3.497,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,69,NaN,4.494,3.744,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,70.05,NaN,4.529,3.634,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,70.98,NaN,4.559,3.453,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,72.01,NaN,4.594,3.677,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,76.48,NaN,4.742,3.993,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
DSDP214,NaN,-11.3368,88.718,-12.68232803,87.395997,-13.30259824,86.77710069,1655,76.98,NaN,4.758,3.832,mg,0,Trilobatus sacculifer,Karas,2009,https://doi.org/10.1038/NGEO520,https://doi.org/10.25921/b2z7-3f44,
