SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,2.5,141.5,,,,,2604,,,0,3.49,mg,1,Trilobatus sacculifer,,,,,Preindustrial estimate from HadiSST 1870 to 1900
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.03,0.03,0.001,4.11,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.11,0.11,0.004,4.21,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.23,0.23,0.009,4.48,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.33,0.33,0.012,3.78,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.43,0.43,0.016,3.89,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.61,0.61,0.023,4.04,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.81,0.81,0.03,3.22,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,0.91,0.91,0.034,3.4,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,1,1,0.038,3.57,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,1.11,1.11,0.042,3.75,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,1.21,1.21,0.045,3.42,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,1.31,1.31,0.049,3.6,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
IODPU1488,A,2.0432,141.755,0.492230712,141.8334313,-0.196974855,141.8337377,2604,1.41,1.41,0.053,4.16,mg,1,Trilobatus sacculifer,Meinicke,2021,https://doi.org/10.1029/2020PA004115,https://doi.org/10.1594/PANGAEA.933339,
