SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
ODP1264,NaN,-28.532,2.845,,,,,2505,NaN,0,0,2.68,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,used uppermost value
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0,0,2.68,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.05,0.0099,2.65,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.1,0.0198,2.77,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.15,0.0298,2.69,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.2,0.0397,2.6,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.25,0.0496,2.54,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.3,0.0595,2.63,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.35,0.0694,2.38,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.4,0.0794,2.62,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.45,0.0893,2.72,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.5,0.0992,2.6,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.55,0.1091,2.69,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.6,0.1191,2.81,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.65,0.129,2.81,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.7,0.1389,2.88,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.75,0.1488,2.81,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.8,0.1587,2.93,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.85,0.1687,2.74,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,0.9,0.1786,2.64,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,1.05,0.2083,2.49,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
ODP1264,NaN,-28.532,2.845,-29.11681027,2.055875983,-29.38631618,1.689763059,2505,NaN,1.15,0.2282,2.48,mg,0,Trilobatus sacculifer,Wojcieszek,2010,https://doi.org/10.25921/ynap-nd59,https://doi.org/10.25921/ynap-nd59,
