SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,BIT,MI,deltaRI,QualityFlag
ODP799,,39.132,133.52,,,,,,,,0,0.495,tex,,,Tierney,2015,https://doi.org/10.1038/sdata.2015.29,https://www.ncei.noaa.gov/access/paleo-search/study/18615,,,,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.003,0.481668825,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.026,0.402961132,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.2,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.069,0.465724039,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.196,0.419572502,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.214,0.41118294,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.394,0.451825523,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.43,0.498159505,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.2,0.1,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.561,0.351011736,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,0.569,0.506615371,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0,0
