SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,notes,BIT,MI,deltaRI,QualityFlag
HadiSST,,-20.5,115.5,,,,,,,,0,0.654,tex,,,,,,,Preindustrial SST estimate from HadiSST 1870 to 1900,,,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,3.48,,0.006628571,0.661951427,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.165728233,0.209674567,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,6.98,,0.013295238,0.672673015,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.132639057,0.190679093,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,10.5,,0.02,0.640928378,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.299794386,0.211249354,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,14.02,,0.031181703,0.599238353,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.161397459,0.210031598,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,17.52,,0.042299873,0.600866994,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.228248197,0.221174031,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,20.98,,0.053290978,0.679773423,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.374940923,0.189829499,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,24.48,,0.064409149,0.655208923,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.242446933,0.202956778,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,28.08,,0.075844981,0.621968981,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.208752422,0.22575357,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,31.63,,0.087121982,0.614898743,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.391507601,0.249718387,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,35.03,,0.09792249,0.655609142,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.203655963,0.230659061,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,38.53,,0.109040661,0.647676888,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.332494714,0.214682954,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,41.98,,0.12,0.614582587,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.311749357,0.196082714,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,45.63,,0.132195704,0.644894012,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.162244489,0.212242339,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,49.16,,0.143990453,0.679677276,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.230568406,0.216766195,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,51.975,,0.153396181,0.726007177,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.164445224,0.198993474,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,52.53,,0.155250597,0.742032071,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.167165574,0.202355814,,0
IODPU1461,B,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,56.03,,0.166945107,0.606854155,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.29278477,0.218831868,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,59.53,,0.178639618,0.623303746,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.259579527,0.227090819,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,62.93,,0.19,0.674402878,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.359095436,0.283131978,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,66.73,,0.196880497,0.62669378,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.281871063,0.2486402,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,70.03,,0.202855665,0.660731635,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.153476162,0.200331197,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,73.53,,0.209192964,0.665302525,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.225037982,0.210219419,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,77.03,,0.215530264,0.60008319,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.261234095,0.211033962,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,80.33,,0.221505432,0.624682977,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.186791841,0.226221854,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,83.98,,0.22811433,0.643625569,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.165999626,0.206563485,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,87.6,,0.234668908,0.663617032,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.176962417,0.200926664,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,91.02,,0.240861355,0.652675787,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.194609215,0.208499603,,0
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,94.55,,0.247252975,0.60249676,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.318331775,0.243919686,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,98.08,,0.253644594,0.650880512,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.337287429,0.217243247,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,101.59,,0.26,0.655716685,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.301635236,0.220270482,,1
IODPU1461,A,-20.2144,115.0658,-21.91008945,113.823592,-22.68869883,113.2297774,127,105.03,,0.275644673,0.658223164,tex,,,He,2021,https://doi.org/10.1016/j.epsl.2021.116767,,,0.348107991,0.24001536,,1
