SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,notes,BIT,MI,deltaRI,QualityFlag
HadiSST,,37.5,13.5,,,,,,,,0,0.543,tex,,,,,,,Preindustrial estimate from HadiSST 1870 to 1900,,,,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.6,0.462378842,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.607963801,0.663536387,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.61719457,0.651759656,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.62959276,0.679187525,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.64,0.600615324,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.66171123,0.574673328,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.686229947,0.603792451,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.71,0.661084841,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.782060811,0.667884281,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.8,0.514653471,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.820487805,0.611946831,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.84,0.47969035,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.863773585,0.415022995,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.891698113,0.496274128,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.9,0.639062843,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.923617021,0.431618488,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.937021277,0.370508213,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.95,0.592153838,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.956277056,0.374769165,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.965151515,0.42439099,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.976623377,0.450787146,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.985064935,0.570047821,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,2.993073593,0.272692074,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,3,0.558757835,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
PuntaPiccola,NaN,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,NaN,NaN,NaN,3.008385093,0.539056228,tex,NaN,NaN,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,NaN,,NaN,NaN,NaN,0
