SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
GIK16808-2,,3.81,-2.858,,,,,,,,0,0.942,uk,,,Tierney,2018,https://doi.org/10.1002/2017PA003201,https://doi.org/10.25921/k1a1-8c59,1 coretop 24 km
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,0.01,,0.001,0.92291372,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,5.21,,0.491333333,0.811396717,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,7.81,,0.688909091,0.925408855,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,10.41,,0.878307692,0.85583524,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,13.01,,1.68936,0.909514925,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,15.51,,1.80636,0.942601369,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,18.21,,1.937571429,0.952920087,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,20.81,,2.0925,0.929253229,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,23.41,24.65,2.224912722,0.949649458,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,26.01,27.23,2.358301775,0.958661953,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,28.61,29.6,2.48083358,0.867459269,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,32.49,35.18,2.769326183,0.968018888,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,33.21,35.9,2.806704545,0.944897553,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,35.11,37.8,2.891,0.96069869,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,35.31,37.98,2.900368852,0.969348659,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,36.01,38.61,2.936,0.96107056,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,36.36,38.89,2.950357143,0.965410713,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,36.66,39.15,2.964285714,0.966034407,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
ODP959,C,3.62782,-2.73527,3.05395263,-3.469539791,2.789710335,-3.808781785,2092,36.91,39.44,2.9825,0.964553834,uk,,,van der Weijst,2021,https://doi.org/10.5194/cp-2021-92,,
