SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes,BIT,MI,deltaRI,QualityFlag
HadiSST,,-76.5,168.5,,,,,,,,,0.358,tex,,,,,,,Preindustrial estimate from HadiSST 1870 to 1900,,,,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,86.75,,1.0283527,0.367320315,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,,0.058072977,0.135431264,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,88.29,,1.0436376,0.346666803,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.019157526,0.07912998,0.117588489,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,89.09,,1.0515483,0.339888009,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.025119846,0.072201721,0.159548381,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,89.68,,1.0574224,0.346302138,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.01716978,0.055462325,0.129215032,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,90.21,,1.0627715,0.390671054,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.06439454,0.107035676,0.104883033,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,91.67,,1.0800558,0.386297524,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.048001686,0.063935426,0.065508793,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,93.21,,1.1079978,0.460400842,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.777479596,0.170813383,0.084492792,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,154.05,,1.9721236,0.438818565,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.023756978,0.033649222,0.153117286,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,155.28,,1.9816187,0.462023957,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.039843706,0.027321023,0.385066553,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,158.44,,2.0065778,0.443154212,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.097493163,0.03058264,0.408616482,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,159.07,,2.017709,0.402985075,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.021172912,0.036659124,0.083835687,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,164.9,,2.224159,0.491531596,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.059754121,0.031299321,0.398798816,0
AND1B,,-77.88944,167.08932,-77.61735271,165.8486181,-77.49241999,165.2927429,917,165.09,,2.2271189,0.413091716,tex,,,McKay,2012,https://doi.org/10.1073/pnas.1112248109,,,0.021261118,0.037551066,0.172714186,0
