SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
GIK17048-4,,54.308,-18.177,,,,,,,,0,0.486,uk,,,Tierney,2018,https://doi.org/10.1002/2017PA003201,https://doi.org/10.25921/k1a1-8c59,1 coretop 130 km
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,111.64,2.2842,0.6116,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,112.02,2.2911,0.4598,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,112.84,2.306,0.572,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,113.75,2.3226,0.5159,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,115.26,2.35,0.5093,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,116.68,2.3759,0.5456,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,117.54,2.3915,0.473,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,118.9,2.4162,0.5852,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
DSDP610,,53.2215,-18.8868,52.76275977,-19.59678031,52.55037564,-19.92329414,2417,,119.34,2.4242,0.4796,uk,,,Naafs,2020,https://doi.org/10.1029/2020PA003905,https://doi.org/10.1594/PANGAEA.911565,
