SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
CH-07-98-GGC19 CH-07-98 MC1 CH-07-98 MC18,,37.1193,-74.106,,,,,,,,0,0.549,uk,,,Tierney,2018,https://doi.org/10.1002/2017PA003201,https://doi.org/10.25921/k1a1-8c59,3 coretops in 287 km
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,0.1,,3.2,0.9325,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,0.35,,3.2,0.9234,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,0.65,,3.2,0.9403,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,1,,3.2,0.9435,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,1.5,,3.2,0.9397,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,1.85,,3.2,0.9352,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,2.4,,3.2,0.9311,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,2.9,,3.2,0.933666667,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,3.6,,3.2,0.93385,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,4.1,,3.2,0.9345,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
Eagles Roost,,37.067,-76.669,36.90179651,-76.11603988,36.82058893,-75.86324247,,4.6,,3.2,0.9382,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
