SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,3.5,-122.5,,,,,,,,0,0.923,uk,,,,,,,Preindustrial SST estimate of uk from HadiSST 1870 to 1900
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,0.05,,0.001,0.929,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,0.64,,0.04,0.897,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,1.24,,0.08,0.922,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,1.84,,0.12,0.924,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,2.34,,0.16,0.926,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,2.94,,0.2,0.933,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,3.56,,0.23,0.891,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,B,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,4.06,,0.26,0.939,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,A,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,4.64,,0.31,0.922,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,A,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,5.25,,0.36,0.878,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,A,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,5.84,,0.4,0.929,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,A,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,6.34,,0.45,0.903,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,A,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,6.94,,0.51,0.923,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,A,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,7.54,,0.55,0.914,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,A,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,8.14,,0.62,0.928,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
IODPU1337,C,3.8334,-123.206,3.137330344,-121.2478047,2.819275729,-120.34517,4472,8.64,,0.65,0.91,uk,,,Liu,2019,https://doi.org/10.1126/sciadv.aau6060,,
