SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,20.5,109.5,,,,,,,,0,0.899,uk,,,,,,,Preindustrial SST estimate of uk from HadiSST 1870 to 1900
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,4.18,,3.024306667,0.980211719,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,4.38,,3.026306667,0.993932808,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,4.99,,3.032,0.992551024,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,5.2,,3.03396,0.994570858,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,6.876992288,,3.049611928,0.989659207,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,7.14562982,,3.052119212,0.991482431,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,7.42840617,,3.054758458,0.994705083,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,7.725321337,,3.057529666,0.990309689,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,8.008097686,,3.060168912,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,8.290874036,,3.062808158,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,8.856426735,,3.06808665,0.992234015,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,9.153341902,,3.070857858,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,9.252313625,,3.071781594,0.988323598,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,10.0440874,,3.079171482,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,10.32686375,,3.081810728,0.993153179,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,10.77930591,,3.086033522,0.99037334,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,11.07017167,,3.088748269,0.99112176,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,11.42939914,,3.092101059,0.99046498,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,11.51051502,,3.09285814,0.990683918,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,11.74227468,,3.09502123,0.98113533,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,12.4723176,,3.101834964,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,12.63454936,,3.103349127,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,12.91266094,,3.105944835,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,13.27188841,,3.109297625,0.988875332,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,13.55,,3.111893333,0.984431968,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,13.75858369,,3.113840114,0.988372985,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,14.34957082,,3.116,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,14.6972103,,3.125270386,0.995643259,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,14.90579399,,3.130832618,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,15.12596567,,3.136703863,0.992362525,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,15.34613734,,3.142575107,0.983615915,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,15.54313305,,3.147828326,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,16.33980392,,3.169072883,0.996960971,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,16.49696078,,3.173263733,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,16.69901961,,3.178651968,0.992468704,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,16.91230392,,3.184339549,0.98903867,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,17.11436275,,3.189727785,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,17.7429902,,3.206491183,0.992477608,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,17.93382353,,3.211580072,1,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
QZ6,,20.23333333,109.8166667,20.57871912,109.0905409,20.73739132,108.7528862,50,18.09098039,,3.215770922,0.994620925,uk,,,Wang,2021,https://doi.org/10.1016/j.epsl.2021.116823,,
