CMIP6 Variable, File, Experiment, Variable Name In File, Lat Name, Lon Name, Grid Type, Time Step, Layer, Units

pr,     PI.TotalPrecip_pr_6110_6209_monthly_TS.nc,      E280, pr,  lat,     lon,     curvilinear, monthly,     NA, kg/(s*m^2)
tas,    PI.NearSurfaceTemp_tas_6110_6209_monthly_TS.nc, E280, tas, lat,     lon,     curvilinear, monthly,     NA, K
tos,    PI.SeasurfaceTemp_sst_6110_6209_monthly_TS.nc,  E280, sst, nav_lat, nav_lon, tripolar,    monthly,     NA, C
sos,    piControl_IPSLCM5A2_SSS.nc,                     E280, sos, lat,     lon,     regridded,   climatology, NA, g/kg
siconc, PI.Sicfraction_sic_6110_6209_monthly_TS.nc,     E280, sic, nav_lat, nav_lon, tripolar,    monthly,     NA, fraction

pr,     Eoi400.TotalPrecip_pr_3381_3480_monthly_TS.nc,      E280, pr,  lat,     lon,     curvilinear, monthly,     NA, kg/(s*m^2)
tas,    Eoi400.NearSurfaceTemp_tas_3381_3480_monthly_TS.nc, E280, t2m, lat,     lon,     curvilinear, monthly,     NA, K
tos,    Eoi400.SeasurfaceTemp_sst_3381_3480_monthly_TS.nc,  E280, sst, nav_lat, nav_lon, tripolar,    monthly,     NA, C
sos,    Eoi400_IPSLCM5A2_SSS.nc,                            E280, sos, lat,     lon,     regridded,   climatology, NA, g/kg
siconc, Eoi400.Sicfraction_sic_sst_3381_3480_monthly_TS.nc, E280, sic, nav_lat, nav_lon, tripolar,    monthly,     NA, fraction
