SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,-30.5,-35.5,,,,,1313,,,0,2.82,mg,0,Trilobatus sacculifer,,,,,Preindustrial estimate from HadiSST 1870 to 1900 Dec-Jun
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,9.92,,2.786,3.6,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.05,,2.796,3.36,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.16,,2.806,3.43,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.27,,2.815,3.5,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.38,,2.825,3.39,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.49,,2.835,3.11,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.61,,2.845,3.12,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.73,,2.856,2.74,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,10.83,,2.864,2.98,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,11,,2.879,2.96,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,11.17,,2.894,2.79,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,11.27,,2.903,2.79,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,11.42,,2.916,3.13,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,11.51,,2.924,2.96,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.32,,2.995,3.37,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.4,,3.001,3.4,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.46,,3.007,3.21,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.55,,3.015,2.96,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.64,,3.021,2.92,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.7,,3.025,2.83,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.76,,3.029,2.72,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.82,,3.033,2.87,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.88,,3.037,2.96,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
DSDP516,A,-30.2765,-35.2853,-30.64632177,-35.00554983,-30.81689215,-34.87567452,1313,12.95,,3.042,2.94,mg,0,Trilobatus sacculifer,Karas,2017,https://doi.org/10.1038/srep39842,https://doi.org/10.25921/95ba-jz28,
