SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
HadiSST,,41.5,-32.5,,,,,,,,0,3.3,mg,0,Globigerina bulloides,,,,,Preindustrial estimate from HadiSST 1870 to 1900
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,135.08,,3.221,5.5021,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,135.68,,3.234,4.3215,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,136.81,,3.256,4.5276,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,136.99,,3.26,3.7649,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,137.3,,3.266,4.1919,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,137.35,,3.267,4.2682,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,137.58,,3.272,5.161,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,137.68,,3.274,5.3682,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,137.72,,3.275,4.937,mg,0,Globigerina bulloides,De Schepper,2013,https://doi.org/10.1371/journal.pone.0081508,https://doi.org/10.1594/PANGAEA.758710,
