SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,0.04,NaN,0,3.746522709,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,Duplicate of data in next line to be used as PI value
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,0.04,NaN,0.0039,3.746522709,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,3.09,NaN,0.1,3.420840268,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,9.49,NaN,0.25345,3.273626885,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,18.93,NaN,0.4563,3.307026408,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,25.38,NaN,0.7,3.522749962,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,31.43,NaN,0.9,3.269790737,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,36.31,NaN,1.1,3.439498099,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,44.29,NaN,1.3,3.242441114,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
ODP999,A,12.743,-78.74,12.5335553,-78.932708,12.4353267,-79.023449,2828,49.68,NaN,1.5,3.424305902,mg,0,Trilobatus sacculifer,O'Brien,2014,https://doi.org/10.1038/ngeo2194,https://doi.org/10.1594/PANGAEA.833445,
