SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes,BIT,MI,deltaRI,QualityFlag
HadiSST,,2.5,-117.5,,,,,,,,0,0.613,tex,,,,,,,Preindustrial estimate from HadiSST 1870 to 1900,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,0.603603604,NaN,0.17536591,0.532853947,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,3.045045045,NaN,0.357687874,0.55109703,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,5.486486486,NaN,0.540009838,0.569964692,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,9.054054054,NaN,0.806428649,0.59948425,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,12.31531532,NaN,1.049973117,0.575749962,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,13.93693694,NaN,1.171072577,0.552955343,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,17.42342342,NaN,1.431436414,0.585522866,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,19.86486486,NaN,1.613758378,0.603534019,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,22.30630631,NaN,1.796080342,0.585522866,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,25.63963964,NaN,2.045007009,0.609660025,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,28.08108108,NaN,2.227328973,0.609660025,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,30.52252252,NaN,2.409650937,0.603534019,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,34.7027027,NaN,2.721818432,0.59948425,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,37.14414414,NaN,2.904140396,0.613778535,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,39.58558559,NaN,3.08646236,0.645567295,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,43.11711712,NaN,3.350190072,0.634792196,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,45.55855856,NaN,3.532512036,0.611715813,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,48,NaN,3.714834,0.634792196,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,51.43243243,NaN,3.971161189,0.630532682,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,53.89189189,NaN,4.154828703,0.647744164,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,56.31531532,NaN,4.630260541,0.620008525,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,59.74774775,NaN,4.744457568,0.649928373,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,63.00900901,NaN,4.85295973,0.681292069,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,64.64864865,NaN,4.907510541,0.656525293,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,67.27927928,NaN,4.995031622,0.64123548,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,72.34234234,NaN,5.16347973,0.64123548,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,75.96396396,NaN,5.283971081,0.613778535,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,80.86486486,NaN,5.447024054,0.626301751,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,86.85585586,NaN,5.646344324,0.647744164,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,93.0990991,NaN,5.854057027,0.656525293,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,97.98198198,NaN,6.016510541,0.634792196,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,106.8198198,NaN,6.310545405,0.645567295,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,112.6396396,NaN,6.504170811,0.645567295,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,118.972973,NaN,6.714880811,0.658739112,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,123.8738739,NaN,6.877933784,0.690527989,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,134.6396396,NaN,7.236110811,0.685894484,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,141.6486486,NaN,7.469300541,0.656525293,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,149.990991,NaN,7.74685027,0.645567295,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,157.8738739,NaN,8.009113784,0.652119948,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
IODPU1338,NaN,2.5078,-117.96991,1.849918451,-116.0052295,1.550667935,-115.0991627,4211,166.8108108,NaN,8.306445676,0.654318913,tex,NaN,NaN,Beltran,2019,https://doi.org/10.2110/jsr.2019.15,NaN,,,,,0
