SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,notes,BIT,MI,deltaRI,QualityFlag
HadiSST,,-25.5,34.5,,,,,,,,0,0.632,tex,,,,,,,Preindustrial estimate from HadiSST 1870 to 1900,,,,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,161.641,NaN,1.834,0.734,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.122,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,162.061,NaN,1.843,0.728,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.141,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,162.511,NaN,1.852,0.692,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.063,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,163.051,NaN,1.855,0.694,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.068,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,168.646,NaN,1.869,0.668,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.055,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,169.456,NaN,1.871,0.71,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.086,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,170.541,NaN,1.874,0.665,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.101,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,170.811,NaN,1.875,0.672,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.082,NaN,NaN,0
IODPU1478,NaN,-25.821,34.769,-26.36182461,34.14310485,-26.6123063,33.85418182,500,171.801,NaN,1.905,0.685,tex,NaN,NaN,Taylor,2021,https://doi.org/10.1029/2020PA004186,https://doi.org/10.1594/PANGAEA.923955,,0.099,NaN,NaN,0
