SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
CH-07-98-GGC19 CH-07-98 MC1 CH-07-98 MC18,,37.1193,-74.106,,,,,,,,0,0.549,uk,,,Tierney,2018,https://doi.org/10.1002/2017PA003201,https://doi.org/10.25921/k1a1-8c59,3 coretops in 287 km
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,19.13,,3.2,0.88355,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,20.56,,3.2,0.8927,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,20.97,,3.2,0.8986,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,21.78,,3.2,0.8902,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,22.09,,3.2,0.90065,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,23.41,,3.2,0.900166667,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,23.71,,3.2,0.9029,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,24.32,,3.2,0.9117,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,24.63,,3.2,0.894666667,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,24.93,,3.2,0.9153,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,25.24,,3.2,0.8918,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
DEQ161-592,,36.682,-76.781,36.51802291,-76.23418074,36.43740061,-75.98417602,,25.54,,3.2,0.8971,uk,,,Dowsett,2017,https://doi.org/10.5066/F7959G1S,https://doi.org/10.5066/F7959G1S,
