SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
M40-4-SL78 78MUC8,,37.036,13.19,,,,,,,,0,0.569,,,,Tierney,2018,https://doi.org/10.1002/2017PA003201,https://doi.org/10.25921/k1a1-8c59,1 coretop 40 km
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,14.4,,5.0079,0.819,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,14.2,,5.0124,0.81,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,14,,5.0169,0.829,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,13.8,,5.0214,0.882,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,13.6,,5.026,0.842,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,13.4,,5.0307,0.812,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,13.2,,5.0354,0.745,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,13,,5.0402,0.756,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,12.8,,5.0452,0.873,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,12.6,,5.0503,0.835,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,12.4,,5.0554,0.757,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,12.2,,5.0599,0.793,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,12,,5.0643,0.888,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,11.8,,5.0686,0.877,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
EracleaMinoa,11,37.39166667,13.28055556,37.17839486,11.89604462,37.05179462,11.2375904,,11.6,,5.0726,0.876,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
