SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0,0.17,0,0.64361,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.02,0.19,0.005,0.69773,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.04,0.21,0.00561,0.68321,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.08,0.25,0.00682,0.671,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.1,0.27,0.00743,0.69806,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.12,0.29,0.00804,0.69113,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.14,0.31,0.00865,0.66935,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.18,0.35,0.00987,0.6578,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.2,0.37,0.01047,0.72479,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.22,0.39,0.01108,0.6974,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.24,0.41,0.01169,0.67991,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.28,0.45,0.01291,0.70268,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.3,0.47,0.01352,0.63767,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.32,0.49,0.01407,0.63107,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
IODPU1313,B,41,-32.9573,40.45924649,-32.58173266,40.20732194,-32.41391058,3426,0.34,0.51,0.01459,0.60302,uk,,,Naafs,2013,https://doi.org/10.1016/j.quascirev.2013.08.014,https://doi.org/10.1594/PANGAEA.818090,
