SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,Notes
M40-4-SL78 78MUC8,,37.036,13.19,,,,,,,,0,0.569,,,,Tierney,2018,https://doi.org/10.1002/2017PA003201,https://doi.org/10.25921/k1a1-8c59,1 coretop 40 km
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,0,,2.59,0.915,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,0.34,,2.5925,0.9,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,0.67,,2.5949,0.877,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,1,,2.5973,0.879,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,1.34,,2.5998,0.822,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,48.36,,2.6,0.89761399,uk,,,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,1.67,,2.6022,0.836,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,2,,2.6047,0.831,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,2.34,,2.6072,0.87,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,47.48,,2.607963801,0.890295616,uk,,,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,2.67,,2.6096,0.907,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,3,,2.612,0.908,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,3.34,,2.6145,0.886,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,3.67,,2.6169,0.879,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,46.46,,2.61719457,0.902476096,uk,,,Plancq,2015,https://doi.org/10.1016/j.epsl.2015.03.031,,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,4,,2.6193,0.874,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,4.34,,2.6217,0.891,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,4.67,,2.6241,0.889,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
PuntaPiccola,1,37.3,13.5,37.11577434,12.13047164,37.00319555,11.47681757,,5,,2.6265,0.889,uk,,,Herbert,2016,https://doi.org/10.1038/ngeo2813,https://doi.org/10.25921/52j8-rt05,
